identifier;location;series;inscription;original
KN Ak 621;KN;Ak;ko-wa , me-zo-e , ko-(wa) , da-wo , ko-wo , me-zo-e , ;.A ] MUL 34 pe di [ .B ] ko-wa , me-zo-e 4 ko-(wa)[ .C ](jo) , / da-wo , / ko-wo , me-zo-e 6 [
KN Ak 622;KN;Ak;we-we-si-jo-jo , ko-wa , me-zo-e , ko-wo , ;we-we-si-jo-jo , [ ko-wa , me-zo-e [ ko-wo[
KN Ak 624;KN;Ak;ri-jo-ni-ja , ko-wa , me-zo-e , ko-wo , ko-wo , me-zo-e , ;ri-jo-ni-ja TA [ ] 'DA [ ]' [ ne di ko-wa me-zo-e [ ko-wo di 3 ko-wo me-zo-e [
KN Ak 626;KN;Ak;ko-no-so , me-wi-jo-e , me-wi-jo-e , ;] pa di 2 ko-no-so pa di 2[ ] me-wi-jo-e 7 [ ]me-wi-jo-e 6 [
KN Ak 627+;KN;Ak;]-to , a-no-zo-jo , ko-wa , me-zo-e , ko-wa , me-wi-jo-e , ko-wo , me-zo-e , ko-wo , me-wi-jo-e , ;]-to a-no-zo-jo DA 1 TA 1 (MUL) 9 pe di 2 ko-wa me-zo-e 7 ko-wa me-wi-jo-e 10 ko-wo me-zo-e 2 ko-wo me-wi-jo-e 10
KN Ak 630;KN;Ak;tu-ni-ja , we-ko-we-ka-te , ]-(wo) , ;tu-ni-ja[ ne di 3 we-ko-we-ka-te[ ]-(wo) di 1[
KN Ak;KN;Ak;ko-wo , me-u-jo-e , ;] pe di MUL 6 ] ko-wo , me-u-jo-e 4 ] vacat
KN Ak 634 + 5767;KN;Ak;(se)-(to)-i-ja , ko-wa , me-u , ko-wo , ;.A ]'(DA) (1)'[ ]74[ ] di 5 [ .B (se)-(to)-i-ja / ko-wa , me-u[ ] 10 ko-wo me 5[
KN Ak 636;KN;Ak;ko-wa , me-zo , ko-wa , me-u-jo-e , ;sup. mut. ] ko-wa me-zo 1 [ ] ko-wa me-u-jo-e 2[
KN Ak 638;KN;Ak;e-ne-re-ja , ko-wa , a-mi-ni-so , ko-wo , ;.A 'e-ne-re-ja[' .B ko-wa[ .C a-mi-ni-so / ko-wo[
KN Ak 640;KN;Ak;]-sa-tu , (ko)-(wa) , ko-wo , ;sup. mut. ]-sa-tu 1 ] vacat (ko)-(wa) 8 ko-wo 2 ] vacat
KN Ak 643;KN;Ak;ko-no-so , ko-u-re-ja , ;.a ] ko-no-so [ .b ]ko-u-re-ja / [
KN Ak 780 + 7004 + 7045 + 7767;KN;Ak;da-wi-ja , ne-ki-ri-de , ko-wa , me-wi-jo , ko-wo , me-(wi) , ;da-wi-ja , ne-ki-ri-de MUL 2 pe VIR 2 ko-wa me-wi-jo[ ]1 ko-wo me-(wi)[ ]E 3
KN Ak 781 + 8339;KN;Ak;di-da-ka-re , ko-wa , di-da-ka-re , ko-wo , ;] MUL 17 [ [ di-da-ka-re ] ] [ ](5) ko-wa [ ] , di-da-ka-re , ne 1 // ko-wo [
KN Ak 782;KN;Ak;me-wi-jo-e , ;] MUL 3 ] me-wi-jo-e 2 ] vacat
KN Ak 783+;KN;Ak;di-da-ka-re , me-wi-jo-e , me-wi-jo-e , ;] di-da-ka-re pe MUL 2 ]me-wi-jo-e 14 ]me-wi-jo-e 9
KN Ak 784+;KN;Ak;we-ra-ti-ja , me-zo-e , di-da-ka-re , me-zo-e , di-da-ka-re , ;]we-ra-ti-ja [ ]2 ]me-zo-e , di-da-ka-re[ ]11 ]me-zo-e , di-da-ka-re[ ](15)
KN Ak 828;KN;Ak;pa-i-ti-ja , ko-wa , me-zo-e , di-da-ka , ko-wo , me-zo-e , di-(da) , ;pa-i-ti-ja , DA 1 TA [ ko-wa / me-zo-e , di-da-ka[ ko-wo / me-zo-e , di-(da)[
KN Ak 830;KN;Ak;du-wi-ja , po-(si) , me-zo-e , me-zo-e , ;]du-wi-ja , po-(si)[ ]wa / me-zo-e [ ]wo / me-zo-e 3[
KN Ak;KN;Ak;ko-wa , me-zo , me-u-jo-e , ;]ko-wa[ ]me-zo[ ]wa me-u-jo-e[
KN Ak 2126;KN;Ak;ko-wa , me-wi-(jo)-(e) , ko-wa , me-zo , e-[ , ;sup. mut. .a ] ko-wa me-wi-(jo)-(e) (1)[ .b ]zo 1 ko-wa me-zo 1 e-[ ] vacat [
KN Ak 5009+;KN;Ak;ka-pa-ra2 , ko-wa , (a)-ra-ka-te-ja , ;.A ] ka-pa-ra2 [ .B ] ko-wa , (me)[ .C (a)-ra-ka-te-ja , / (ko)[
KN Ak 5553;KN;Ak;ko-ro-ka-[ , (ko)-wa , me-zo , ;ko-ro-ka-[ ](ko)-wa / me-zo (1)[
KN Ak 5604;KN;Ak;;](TA) 2 'DA 1' MUL[ inf. mut.
KN Ak 5611;KN;Ak;ko-wo , ;sup. mut. ] ko-wo (me)[ inf. mut.
KN Ak 5648+;KN;Ak;ko-wa , ;.A ] TA 1 [ .B ](ja) / [ ]ko-wa [ inf. mut.
KN Ak 5655;KN;Ak;;sup. mut. ] vacat [ ] di [ ](wo) di [
KN Ak 5741+;KN;Ak;ko-wa , me-zo , ko-wo , me-zo-e , ko-wo , ;]10 ko-wa / me-zo 1 [ ](jo) , ko-wo / me-zo-e 2 ko-wo me 1
KN Ak 5879;KN;Ak;ko-wo , ;sup. mut. ](3)[ ]1 ko-wo [
KN Ak 5884+;KN;Ak;(ko)-wa , me-u-jo , ;](10)[ ] vacat ]5 [ ](ko)-wa / me-u-jo 2 ]e 4 [ inf. mut.
