identifier;inscription;numberOfCharacters
KN Ap 5868+;(no)-(si)-ja , to-sa , ko-wo , ka-ra-we , e-u-[ , ;5
KN Ap 5876+;ko-wo , qa-mi-ja , ko-wa , ko-wo , ri-jo-no , ko-wo , ;6
KN Ap 618+;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;10
KN Ap 628+;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;7
KN Ap 629;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;4
KN Ap 637;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;4
KN Ap 639;]-me-no , tu-zo , ko-pi , a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , ko-wo , du-sa-ni , ma-ku , pa-i-ti-ja , pi-ra-ka-ra , *18-to-no , wi-so , e-ra-ja , ko-wa , ko-wo , to-sa , ko-wa , ko-(wo) , ke-ra-me-ja , ko-wo , tu-*49-mi , i-du , tu-ka-to , e-ti-wa-ja , sa-ma-ti-ja , (si)-[ , ku-tu-qa-no , wi-da-ma-ta , ka-na-to-po , sa-ti-(qi)-(to) , tu-ka-na , sa-*65 , u-jo-na , sa-mi , (a)-de-ra2 , tu-ka-na , pu-wa , si-nu-ke , qi-ti-ta , si-ne-e-ja , u-pa-ra , ru-ta , (du)-tu-wa , ko-wa , ke-pu , ko-wa , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;51
KN Ap 694;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;3
KN Ap 769;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;5
KN Ap 5077;e-ke , ko-wo , ;2
KN Ap 5547+;ja-mi-nu , ;1
KN Ap 5748+;ki-zo , (a)-ma-no-[ , o-ri-mo , pu-zo , ti-no , pi-ja-mu-nu , ni-ta , o-sa-po-to , ;8
KN Ap 5864;]-(u)-(ra) , (tu)-ka-na , te-qa-ja , ja-mu-(ta) , ]-ta , ;5
KN Ap 5868+;(no)-(si)-ja , to-sa , ko-wo , ka-ra-we , e-u-[ , ;5
KN Ap 5876+;ko-wo , qa-mi-ja , ko-wa , ko-wo , ri-jo-no , ko-wo , ;6
KN Ap 618+;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;10
KN Ap 628+;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;7
KN Ap 629;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;4
KN Ap 637;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;4
KN Ap 639;]-me-no , tu-zo , ko-pi , a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , ko-wo , du-sa-ni , ma-ku , pa-i-ti-ja , pi-ra-ka-ra , *18-to-no , wi-so , e-ra-ja , ko-wa , ko-wo , to-sa , ko-wa , ko-(wo) , ke-ra-me-ja , ko-wo , tu-*49-mi , i-du , tu-ka-to , e-ti-wa-ja , sa-ma-ti-ja , (si)-[ , ku-tu-qa-no , wi-da-ma-ta , ka-na-to-po , sa-ti-(qi)-(to) , tu-ka-na , sa-*65 , u-jo-na , sa-mi , (a)-de-ra2 , tu-ka-na , pu-wa , si-nu-ke , qi-ti-ta , si-ne-e-ja , u-pa-ra , ru-ta , (du)-tu-wa , ko-wa , ke-pu , ko-wa , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;51
KN Ap 694;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;3
KN Ap 769;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;5
KN Ap 5077;e-ke , ko-wo , ;2
KN Ap 5547+;ja-mi-nu , ;1
KN Ap 5748+;ki-zo , (a)-ma-no-[ , o-ri-mo , pu-zo , ti-no , pi-ja-mu-nu , ni-ta , o-sa-po-to , ;8
KN Ap 5864;]-(u)-(ra) , (tu)-ka-na , te-qa-ja , ja-mu-(ta) , ]-ta , ;5
KN Ap 5868+;(no)-(si)-ja , to-sa , ko-wo , ka-ra-we , e-u-[ , ;5
KN Ap 5876+;ko-wo , qa-mi-ja , ko-wa , ko-wo , ri-jo-no , ko-wo , ;6
KN Ap 618+;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;10
KN Ap 628+;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;7
KN Ap 629;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;4
KN Ap 637;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;4
KN Ap 639;]-me-no , tu-zo , ko-pi , a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , ko-wo , du-sa-ni , ma-ku , pa-i-ti-ja , pi-ra-ka-ra , *18-to-no , wi-so , e-ra-ja , ko-wa , ko-wo , to-sa , ko-wa , ko-(wo) , ke-ra-me-ja , ko-wo , tu-*49-mi , i-du , tu-ka-to , e-ti-wa-ja , sa-ma-ti-ja , (si)-[ , ku-tu-qa-no , wi-da-ma-ta , ka-na-to-po , sa-ti-(qi)-(to) , tu-ka-na , sa-*65 , u-jo-na , sa-mi , (a)-de-ra2 , tu-ka-na , pu-wa , si-nu-ke , qi-ti-ta , si-ne-e-ja , u-pa-ra , ru-ta , (du)-tu-wa , ko-wa , ke-pu , ko-wa , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;51
KN Ap 694;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;3
KN Ap 769;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;5
KN Ap 5077;e-ke , ko-wo , ;2
KN Ap 5547+;ja-mi-nu , ;1
KN Ap 5748+;ki-zo , (a)-ma-no-[ , o-ri-mo , pu-zo , ti-no , pi-ja-mu-nu , ni-ta , o-sa-po-to , ;8
KN Ap 5864;]-(u)-(ra) , (tu)-ka-na , te-qa-ja , ja-mu-(ta) , ]-ta , ;5
KN Ap 5868+;(no)-(si)-ja , to-sa , ko-wo , ka-ra-we , e-u-[ , ;5
KN Ap 5876+;ko-wo , qa-mi-ja , ko-wa , ko-wo , ri-jo-no , ko-wo , ;6
KN As 40+;(o)-[ , (ko)-(no)-so , a-to , da-*22-to , zo-do-so , da-*22-to , a-sa-ro , da-*22-to , ko-so , da-*22-to , su-ke-re , se-to-i-ja , (to)-so , ;13
KN As 566;di-ka-ta-ro , (si)-ja-qo , (ke)-we-da , ;3
KN As 602+;qe-ro , a-ta-qe , ka-nu-se-u , ta-to-qe , (da)-ro , a-ka-sa-no , (pe)-re-*82-ta , qo-wa-ke-se-u , to-so , ;9
KN As 603+;no-si-ro , (a)-ta-no , ma-di , o-po-ro-u-si-jo , pe-te-u , ku-ro2 , ;6
KN As 604+;e-re-dwo-(e) , ka-(ta , si-(ra)-so , e-ri-ta-qi-jo , ka-mo , ra-su-to , ta-de-(so) , (ra)-su-to , au-ri-jo , wi-na-to , te-so , wi-na-to , te-(na)-ja-so , qa-qa-ro , pu-so , u-ta , ;16
KN As 605+;ni-jo , (ra)-wo-ke-ta , qe-[ , ]-no , pe-ro-qe , tu-ma-i-ta , qe-ta-se-u , ;7
KN As 607+;a-ra-ko , ta-ta-ro , (si)-mi-do , (*56)-ni-sa-ta , (ro)-ti-jo , ke-re-(to) , i-ne-u , ra-(ja) , ;8
KN As 608+;(ku)-(ru)-no , pa-ta-u-(na) , pa-ta-u-na , pa-ta-u-na , ko-no-si-jo , ta-so , ta-pa-da-no , si-to-(po) , ko-me-no , no-do-ro-we , a-ma , e-ne-o , (o)-u , ;13
KN As 609+;re-po-so , ka-ri-(se)-u , wi-(je)-mo , pi-ro-qa-wo , qe-te-se-u , no-da-ro , a-ku-ri-(jo) , (to)-so , ;8
KN As 645;(ki)-ne-u , sa-ma-ri-wa-ta , a-re-ta-wo , ;3
KN As 1516;(du)-ru , ko-no-si-ja , ra-wa-ke-ja , a-nu-wi-ko , a-ra-da-jo , pi-ja-si-ro , (da)-(na) , (we)-ro , po-to , si-pu2 , pu-te , (ja)-sa-no , qa-me-si-jo , mi-ja-ra-ro , mi-ru-ro , ]-ki-wa-ta , u-ra-mo-no , pi-ri-no , qa-to-no-ro , pe-te-ki-ja , ko-ni-da-jo , a-ko-ra-jo , wa-du-[ , ]-to , qo-te-ro , i-te-u , pu-to-ro , ka-ri-se-u , a3-ko-ta , ka-ke , ru-na , pu-wo , a-ta-ze-u , a-ra-na-ro , si-ja-pu2-ro , to-so , ;36
KN As 1517;re-qo-me-no , si-re-u , a-di-nwa-ta , ]-sa-ta , ti-qa-jo , da-wa-no , ]-wo , qi-qe-ro , wi-du , ku-ra-no , (ra)-wi-[ , e-ru-to-ro , ku-(ta)-i-jo , ku-pa-nu-we-to , qa-ra-jo , ri-zo , pa-na-re-jo , ke-ka-to , to-so , o-pi , e-sa-re-we , to-ro-no-wo-ko , po-to-ri-jo , pe-we-ri-jo , a3-ni-jo , ;25
KN As 1518+;to-ko , wi-ja , we-e , to-ko , wi-ja , to-ko , (re)-we , (we)-e-wi-ja , to-ko , ;9
KN As 1519;i-we-ro , ne-o-to , qa-ti-ja , o-pi-si-jo , pa-ja-ro , ki-ke-ro , i-to , (ma)-ri-ne-wo , wo-i-ko-de , to-so , ;10
KN As 1520;a-ta-no , wi-jo , a-te-mo , ki-ma-ta , ri-zo , ke-sa-do-ro , di-zo , da-ko-so , so-za , to-so , e-u-na-wo , sa-zo , o-*22-di , pi-ma-na-ro , a-*56-no , ;15
KN As;(e)-pi-ko-wo , e-qe-(ta) , e-re-u-(te) , da-mo , e-ro-pa-ke-u , ko-ki , ]-jo , ra-wo-po-qo , ze-ro , ;9
KN As 5542;;1
KN As 5549+;]-(to) , (da)-zo , ]-(so) , ;3
KN As 5557;a-re-te-re-u , ;1
KN As 5605+;ko-ko , (mi)-dwe , ;2
KN As 5609+;(u)-ko-ro , ]-ke-u , to-so , ;3
KN As 5719;ku-ka-so , ;1
KN As 5880+;;1
KN As 5888;wa-je , o-du , ;2
KN As 5908;;1
KN As 5932;a-[ , ]-we , a-[ , su-*56-ta , ;4
KN As 5941+;e-re-ta , e-re-ta , e-re-ta , ;3
KN As 5944+;me-ri-to , ;1
KN As 5956;ma-jo , ;1
KN As 5981;;1
KN As 6038;;1
KN As 8161;]-u-to , o-ku , ;2
KN As 8342;a-[ , ]-(we)-(ro) , (*56)-ti , ;3
KN As 40+;(o)-[ , (ko)-(no)-so , a-to , da-*22-to , zo-do-so , da-*22-to , a-sa-ro , da-*22-to , ko-so , da-*22-to , su-ke-re , se-to-i-ja , (to)-so , ;13
KN As 566;di-ka-ta-ro , (si)-ja-qo , (ke)-we-da , ;3
KN As 602+;qe-ro , a-ta-qe , ka-nu-se-u , ta-to-qe , (da)-ro , a-ka-sa-no , (pe)-re-*82-ta , qo-wa-ke-se-u , to-so , ;9
KN As 603+;no-si-ro , (a)-ta-no , ma-di , o-po-ro-u-si-jo , pe-te-u , ku-ro2 , ;6
KN As 604+;e-re-dwo-(e) , ka-(ta , si-(ra)-so , e-ri-ta-qi-jo , ka-mo , ra-su-to , ta-de-(so) , (ra)-su-to , au-ri-jo , wi-na-to , te-so , wi-na-to , te-(na)-ja-so , qa-qa-ro , pu-so , u-ta , ;16
